State,Year,Percent (%) of Labor Force Unemployed in State/Area,Incident
Alabama,2004,5.58,245.0
Alabama,2005,4.46,583.0
Alabama,2006,4.0,621.0
Alabama,2007,4.04,502.0
Alabama,2008,5.88,542.0
Alabama,2009,10.08,331.0
Alabama,2010,10.38,173.0
Alabama,2011,9.58,0.0
Alabama,2012,8.16,2.0
Alabama,2013,7.32,2.0
Alabama,2014,6.73,1.0
Alaska,2004,7.42,54.0
Alaska,2005,6.93,37.0
Alaska,2006,6.63,40.0
Alaska,2007,6.26,62.0
Alaska,2008,6.48,23.0
Alaska,2009,7.98,43.0
Alaska,2010,8.13,60.0
Alaska,2011,7.73,49.0
Alaska,2012,7.25,45.0
Alaska,2013,6.99,45.0
Alaska,2014,6.74,59.0
Arizona,2004,4.97,1333.0
Arizona,2005,4.67,1188.0
Arizona,2006,4.31,1355.0
Arizona,2007,3.75,1357.0
Arizona,2008,5.79,776.0
Arizona,2009,9.67,802.0
Arizona,2010,10.3,799.0
Arizona,2011,9.43,777.0
Arizona,2012,8.35,810.0
Arizona,2013,7.82,1054.0
Arizona,2014,6.79,682.0
Arkansas,2004,5.58,483.0
Arkansas,2005,5.26,191.0
Arkansas,2006,5.25,244.0
Arkansas,2007,5.39,305.0
Arkansas,2008,5.44,170.0
Arkansas,2009,7.72,157.0
Arkansas,2010,7.86,115.0
Arkansas,2011,7.91,156.0
Arkansas,2012,7.27,200.0
Arkansas,2013,7.04,153.0
Arkansas,2014,5.9,235.0
California,2004,6.22,7829.0
California,2005,5.38,7315.0
California,2006,4.92,7450.0
California,2007,5.31,5459.0
California,2008,7.3,4616.0
California,2009,11.54,4656.0
California,2010,12.46,3839.0
California,2011,11.89,5126.0
California,2012,10.52,4831.0
California,2013,9.03,3546.0
California,2014,7.57,3508.0
Colorado,2004,5.57,380.0
Colorado,2005,5.08,260.0
Colorado,2006,4.27,176.0
Colorado,2007,3.7,206.0
Colorado,2008,4.88,202.0
Colorado,2009,7.88,221.0
Colorado,2010,9.14,167.0
Colorado,2011,8.69,249.0
Colorado,2012,8.0,236.0
Colorado,2013,6.75,240.0
Colorado,2014,4.98,187.0
